PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
300,125,371,1328,1625,230,0,15,50,0,57.50069497,90.92379978,97.80843856
300,150,150,1231,1720,242,1.2,0,36,0,38.16067481,55.62432837,60.7083618
300,180,0,1210,1873,229,4,0,40,0,40.42627613,63.1904754,69.6715498
303,182,121,1174,1835,242,1,0,39,0,37.15725017,52.80010915,59.53669458
310,0,310,1378,1825,238,4,0,34.1,0,33.22584844,49.81693925,
310,110,200,1121,1720,246,1.2,0,40.3,0,42.0189657,57.30981968,61.2599426
310,110,200,1252,1720,213,2.5,0,31,512,45.66342092,63.26708384,68.66491484
310,200,110,1211,1720,246,1.2,0,40.3,0,43.8161998,57.68615867,
315,150,210,1550,1650,280,0,0,28,0,32.7941274,38.29177335,55.64642243
320,0,480,1375,1500,280,0,0,90,0,51.6245155,64.11437324,69.15807162
320,110,210,1257,1700,255,2.6,0,41.6,0,41.17901689,60.37732747,64.23618067
320,115,350,1225,1824,275,0,0,78.5,0,56.09043959,72.02467203,78.35983134
320,128,192,1230,1850,237,1.9,0,38.4,0,35.55780949,54.2325107,61.5012592
324,0,216,1320,1700,267,2.2,21.6,37.8,0,31.2504997,44.81594,50.84502458
325,0,325,1154,1870,260,4.6,0,50,0,37.38568697,54.37296701,
325,130,195,1062,1970,208,2.6,0,33,0,35.11313229,50.52709953,58.04749516
325,130,195,1150,1900,234,3,0,39,0,38.82284224,50.84991794,55.53801001
325,130,195,1155,1830,225,9,0,50,0,39.4035534,59.59370893,
325,130,195,1155,1830,232,8.5,0,50,0,35.37956515,54.21170181,59.01729161
329,0,329,1390,1700,263,6,0,79,0,32.20103639,43.56210267,
330,0,220,1120,2210,220,2.2,15,27.5,0,41.50153037,50.33415315,54.99615761
330,0,220,1200,2070,220,1.9,27.5,0,0,30.88341757,46.33110555,49.6767458
336,0,224,1350,1710,258,4,0,5.6,0,24.7177146,37.63772876,
336,0,224,1496,1710,238,0,0,40,0,28.7511492,39.33230755,
336,112,112,1270,1725,259,1.4,0,21.3,0,35.77690964,50.84425849,
338,0,226,1293,1710,266,7.1,16.9,0,0,23.8041589,40.67793487,
340,0,220,1200,2000,210,11,0,55,192,35.99691516,53.29022684,
340,0,225,1325,1800,212,0.7,30,3,0,24.9245574,38.10504027,
340,0,225,1325,1800,255,5.6,22.6,0,0,31.72768967,41.0413613,
340,0,240,1461,1850,300,6,0,30,0,24.821136,40.334346,
342,0,228,1026,2180,225,3.4,0,22.8,0,39.8517128,51.51890031,56.86108572
342,0,228,1123,2118,229,5.7,0,22.8,0,28.5098326,47.746213,
342,0,228,1138,2118,229,5.7,22.8,22.8,0,30.75313679,47.91283637,61.0875736
345,115,115,1380,1735,251,11.5,0,28.8,0,41.5754028,50.63052093,
348,0,232,1279,1710,266,7.3,17.4,0,0,25.9179774,38.11805674,
348,0,232,1290,1710,263,7.3,17.4,0,0,23.94102951,36.68034489,45.11471293
348,0,232,1300,1700,261,2,23.2,37.7,0,30.4576023,42.3338264,
348,0,232,1311,1710,266,5.8,17.4,0,0,22.2528379,39.5586855,
348,0,232,1330,1710,238,3.3,0,11.6,0,22.63169793,35.680383,
348,0,232,1380,1700,250,4,0,33,0,29.36018633,45.60500698,
348,0,232,1380,1700,261,1.1,26.1,23.2,0,30.80923506,42.76096519,
348,0,232,1537,1630,283,0,17.4,40.6,0,24.5453456,37.55674269,
350,0,0,1580,1750,250,0,8.1,0,12,13.86708605,17.36904957,
350,0,150,1380,1800,275,3.3,12.5,0,0,23.7007375,33.3534015,
350,0,210,1200,1980,235,3,0,60,0,35.4390664,44.58611467,
350,0,210,1282,1955,231,3,0,80,0,39.04732413,49.94104493,
350,0,350,1134,1870,360,3.5,50,0,0,28.785623,46.24085707,
350,0,350,1184,1750,267,7,0,30,0,33.49483984,47.15649849,
350,0,350,1322,851,276,3.9,0,70,0,21.9770475,36.55371927,37.1972302
350,100,0,1250,1850,266,4.5,0,0,0,14.33008834,20.99044018,25.26340244
