PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
180,6,120,300,0,1280,1830,214,9,0,18,0,0,0,0.5,6,4,600,0.356666667,0.192926045,0.7,0.588424437,0.411575563,315.27789,30.20479443,42.74176637,45.63431803
180,6,120,300,0,1280,1830,238,5,0,18,0,0,0,2,6,4,600,0.396666667,0.192926045,0.7,0.588424437,0.411575563,315.27789,35.87986094,55.44870458,63.39157257
180,6,180,240,0,1116,1970,184,0.4,5,0,0,0,0,6,6,6,600,0.306666667,0.194426442,0.7,0.638366818,0.361633182,318.800018,28.7166754,52.227807,57.4678246
180,6,180,240,0,1116,1970,242,0.9,30,0,0,0,0,9,6,4,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,318.800018,28.87749769,45.44050693,48.1948284
180,6,180,240,0,1116,1970,242,1.5,30,0,0,0,0,7.5,6,4,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,318.800018,25.51635763,42.36063936,49.2113495
180,6,180,240,0,1270,1825,209,15,0,46,0,0,0,9,6,4,600,0.348333333,0.193861066,0.7,0.589660743,0.410339257,319.072585,30.67019073,47.66577413,
180,6,180,240,0,1270,1825,210,15,0,46,0,0,0,8,6,4,600,0.35,0.193861066,0.7,0.589660743,0.410339257,319.072585,32.6219472,50.51087549,60.36787947
180,6,180,240,0,1290,1950,209,18,0,71,0,0,0,9,6,4,600,0.348333333,0.185185185,0.7,0.601851852,0.398148148,319.38342,37.12587988,54.17720463,55.44640633
180,6,180,240,0,1310,1760,240,3,0,52,0,0,0,8,6.5,5,600,0.4,0.195439739,0.7,0.573289902,0.426710098,319.09103,19.90259697,35.82867506,50.4696432
180,6,180,240,0,1320,1775,209,14,36,55,0,0,0,7,6,4,600,0.348333333,0.193861066,0.7,0.573505654,0.426494346,319.155485,42.94181887,61.01235804,
180,11,0,420,0,1285,1740,225,3,0,40,0,0,0,2,6,6,600,0.375,0.198347107,0.7,0.575206612,0.424793388,307.443405,36.6801232,50.49262573,
180,11,0,420,0,1285,1740,234,3,0,40,0,0,0,8,6,4,600,0.39,0.198347107,0.7,0.575206612,0.424793388,307.443405,40.38318388,57.95811864,
180,11,0,420,0,1285,1740,238,1.5,0,40,0,0,0,8,0,4,600,0.396666667,0.198347107,0.7,0.575206612,0.424793388,307.443405,32.4570827,,48.56975378
180,11,0,420,0,1285,1740,239,0,0,0,0,0,0,8,6,4,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,307.443405,44.18392033,54.7443944,
180,11,0,420,0,1285,1740,239,1.8,0,40,0,0,0,8,6,4,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,307.443405,40.78633582,57.66572975,
180,11,0,420,0,1285,1740,239,2.3,0,48,0,0,0,0,7.2,4,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,307.443405,38.3693394,61.54722427,
180,11,0,420,0,1285,1740,239,2.3,0,48,0,0,0,0,7.2,6,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,307.443405,39.300132,66.18395037,
180,11,0,420,0,1285,1740,239,2.5,0,40,0,0,0,8,6,4,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,307.443405,38.83795578,56.72570256,57.55975473
180,11,0,420,0,1288,1740,239,2.5,0,40,0,0,0,8,6,4,600,0.398333333,0.198150594,0.7,0.574636724,0.425363276,307.454124,51.7451738,74.3944604,
180,11,120,300,0,1200,1830,232,4,0,45,0,0,0,8,6,4,600,0.386666667,0.198019802,0.7,0.603960396,0.396039604,314.99205,35.3011712,45.68927627,51.2625406
180,11,120,300,0,1200,1830,239,8,0,18,0,0,0,8,6,4,600,0.398333333,0.198019802,0.7,0.603960396,0.396039604,314.99205,32.97665211,49.85568124,55.1063693
180,11,120,300,0,1210,1830,228,6,0,33,0,0,0,8,6,4,600,0.38,0.197368421,0.7,0.601973684,0.398026316,315.02778,33.41775259,46.20904715,52.83621397
180,11,120,300,0,1250,1750,239,4,45,39,0,0,0,5,4.7,4,600,0.398333333,0.2,0.7,0.583333333,0.416666667,315.0175,35.57006684,47.89559947,53.00691488
180,11,120,300,0,1250,1830,239,4,45,39,0,0,0,5,4.7,4,600,0.398333333,0.194805195,0.7,0.594155844,0.405844156,315.1707,32.37271261,48.11393353,53.71707516
180,11,120,300,0,1250,1830,240,11,0,18,0,0,0,4,6.5,4,600,0.4,0.194805195,0.7,0.594155844,0.405844156,315.1707,31.28027253,44.46075539,49.01234165
180,11,120,300,0,1265,1765,238,4,0,37,0,0,0,7,5.5,4,600,0.396666667,0.198019802,0.7,0.582508251,0.417491749,315.09982,24.19458837,,44.74516839
180,11,120,300,0,1280,1830,238,5,0,18,0,0,0,2,6,4,600,0.396666667,0.192926045,0.7,0.588424437,0.411575563,315.27789,26.51830769,42.82529904,48.69855172
180,11,180,240,0,1116,1450,242,1.5,0,30,0,0,0,9,6,4,600,0.403333333,0.233826968,0.7,0.565081839,0.434918161,317.804218,24.9590312,43.30196562,53.4688638
180,11,180,240,0,1116,1970,242,0.9,0,30,0,0,0,9,6,4,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,318.800018,31.3603474,48.54973982,52.27353755
180,11,180,240,0,1116,1970,242,1.5,30,0,0,0,0,7.5,6,4,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,318.800018,27.42735528,44.62748323,
180,11,180,240,0,1116,1970,242,1.5,30,0,0,0,0,9,6,4,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,318.800018,29.81561227,47.94544891,54.54032336
180,11,180,240,0,1270,1928,200,15,0,18,0,0,0,8,6,4,600,0.333333333,0.187617261,0.7,0.602876798,0.397123202,319.26983,37.7832848,56.89777569,58.03549317
