PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
180,180,240,0,1116,1970,242,1.5,30.0,0.0,0.0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,27.586441726666667,44.977857166666666,51.87583643
180,180,240,0,1270,1825,209,15.0,0.0,46.0,0.0,600,0.348333333,0.193861066,0.7,0.589660743,0.410339257,30.67019073,47.66577413,
180,180,240,0,1270,1825,210,15.0,0.0,46.0,0.0,600,0.35,0.193861066,0.7,0.589660743,0.410339257,32.6219472,50.51087549,60.36787947
180,180,240,0,1270,1928,200,15.0,0.0,18.0,0.0,600,0.333333333,0.187617261,0.7,0.602876798,0.397123202,37.7832848,56.89777569,58.03549317
180,180,240,0,1290,1950,209,18.0,0.0,71.0,0.0,600,0.348333333,0.185185185,0.7,0.601851852,0.398148148,33.66075123,50.38441766,53.712754745
180,180,240,0,1320,1775,209,14.0,36.0,55.0,0.0,600,0.348333333,0.193861066,0.7,0.573505654,0.426494346,42.94181887,61.01235804,
185,0,440,0,1265,1960,235,5.0,0.0,75.0,0.0,625,0.376,0.19379845,0.704,0.607751938,0.392248062,43.79321727,56.49872778,
188,187,250,0,1265,1800,228,8.5,0.0,52.0,0.0,625,0.3648,0.203915171,0.6992,0.587275693,0.412724307,35.54109732,52.94959765,66.82470336
195,0,455,0,1145,1870,260,9.8,0.0,50.0,0.0,650,0.4,0.215588723,0.7,0.620232172,0.379767828,41.023822,52.56679937,
195,0,455,0,1250,1850,242,3.0,0.0,35.0,3.0,650,0.372307692,0.209677419,0.7,0.596774194,0.403225806,35.852751999999995,51.06144343,57.8297995
195,0,495,0,1250,1850,242,3.0,15.0,35.0,0.0,690,0.350724638,0.222580645,0.717391304,0.596774194,0.403225806,41.1789541,54.77312257,58.76921055
195,130,325,0,1190,1735,245,6.0,0.0,46.0,0.0,650,0.376923077,0.222222222,0.7,0.593162393,0.406837607,33.39966897,52.9862306,56.50589437
198,198,264,0,1141,1750,250,0.0,0.0,40.0,0.0,660,0.378787879,0.228294708,0.7,0.605326877,0.394673123,30.4748392,49.32051653,56.9162438
198,198,264,0,1186,1750,250,0.0,0.0,40.0,0.0,660,0.378787879,0.22479564,0.7,0.596049046,0.403950954,37.20584865,53.59986424,58.55030192
198,198,264,0,1345,1550,249,5.0,0.0,55.0,0.0,660,0.377272727,0.227979275,0.7,0.535405872,0.464594128,32.67409085,49.67036176,58.49354506
200,100,550,0,1260,1380,340,0.0,0.0,40.0,0.0,850,0.4,0.321969697,0.764705882,0.522727273,0.477272727,49.42502202,76.14879378,81.22154961
200,100,550,0,1260,1400,312,0.0,0.0,52.0,0.0,850,0.367058824,0.319548872,0.764705882,0.526315789,0.473684211,59.0191456,72.06173327,77.89240197
204,204,272,0,1015,1970,264,1.1,40.8,0.0,0.0,680,0.388235294,0.227805695,0.7,0.659966499,0.340033501,31.4401056,49.0906912,56.5715058
210,0,490,0,1010,1970,260,5.6,50.0,0.0,0.0,700,0.371428571,0.234899329,0.7,0.661073826,0.338926174,38.51585305,,
210,175,315,0,1280,1600,245,10.0,0.0,55.0,0.0,700,0.35,0.243055556,0.7,0.555555556,0.444444444,36.8524922,52.58403627,
225,225,300,0,1390,1665,267,0.0,18.8,22.5,0.0,750,0.356,0.245499182,0.7,0.545008183,0.454991817,25.8036393,,67.29860323
233,233,310,0,1370,1601,250,0.0,23.3,50.4,0.0,776,0.322164948,0.261191518,0.699742268,0.538875799,0.461124201,55.81997696,70.16107776,75.71595607
240,0,560,0,1400,1650,264,0.0,0.0,100.0,0.0,800,0.33,0.262295082,0.7,0.540983607,0.459016393,52.50129915,68.90666236,70.72185157
246,0,164,0,1520,1750,250,3.3,8.2,0.0,0.0,410,0.609756098,0.125382263,0.4,0.535168196,0.464831804,13.5482034,24.76367967,
