PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
198,6,198,264,0,1345,1620,250,5,35,50,512,0,0,9,7,4,660,0.3787878787878788,0.2225969645868466,0.7,0.5463743676222597,0.4536256323777403,350.051985,36.73660155319149,50.6392543,42.56135347999999
198,11,198,264,0,1186,1750,250,0,0,40,0,0,0,8,6,4,660,0.3787878787878788,0.2247956403269755,0.7,0.5960490463215259,0.4039509536784741,349.732828,37.20584865,53.59986424,58.55030192
198,11,198,264,0,1345,1620,249,5,0,55,0,0,0,9,8,4,660,0.3772727272727273,0.2225969645868466,0.7,0.5463743676222597,0.4536256323777403,350.051985,32.36481458823529,47.75080950666666,45.80418893333334
198,11,198,264,0,1345,1620,250,5,0,55,0,0,0,9,7,4,660,0.3787878787878788,0.2225969645868466,0.7,0.5463743676222597,0.4536256323777403,350.051985,33.0431373,51.264455811111105,44.4022544
198,11,198,264,0,1345,1620,250,10,0,55,0,0,0,6.5,6,4,660,0.3787878787878788,0.2225969645868466,0.7,0.5463743676222597,0.4536256323777403,350.051985,35.61833016,50.63052093333333,45.7467326
200,2,300,0,0,1430,1460,297,2.5,0,20,0,0,0,8,4,6,500,0.594,0.1730103806228374,0.6,0.5051903114186851,0.4948096885813149,315.90529,11.071707752592594,20.77829945454545,29.255093476363633
200,11,0,400,0,2000,0,421,20,0,15,0,0,0,15,6,6,600,0.7016666666666667,0.3,0.6666666666666666,0,1,322.3460000000001,,7.262480533333334,
200,11,100,550,0,1260,1380,340,0,0,40,0,0,0,25,1,6,850,0.4,0.321969697,0.7647058823529411,0.5227272727272727,0.4772727272727273,394.74468,49.42502201509433,76.14879377777777,81.22154961
200,11,100,550,0,1260,1383,308,0,0,45,0,0,0,9,4,6,850,0.3623529411764706,0.3216042376087779,0.7647058823529411,0.5232690124858116,0.4767309875141884,394.750425,40.64296859047619,55.44536166666666,64.40854966666667
200,11,100,550,0,1260,1400,312,0,0,52,0,0,0,25,1,5,850,0.3670588235294118,0.3195488721804511,0.7647058823529411,0.5263157894736842,0.4736842105263158,394.78298,59.01914559999999,72.06173326666666,77.89240197333332
200,11,200,0,0,2055,0,292,0,0,0,0,0,0,0,30,6,400,0.73,0.194647202,0.5,0,1,282.542515,8.101343,9.387760063157895,
204,11,204,272,0,1015,1970,264,1.1,40.8,0,0,0,0,7.5,6,4,680,0.3882352941176471,0.2278056951423786,0.7,0.6599664991624791,0.3400335008375209,359.911145,31.4401056,49.0906912,56.5715058
210,6,0,490,0,1010,1970,260,5.6,50,0,0,0,0,5.5,5.5,4,700,0.3714285714285714,0.2348993288590604,0.7,0.6610738255033557,0.3389261744966443,356.8212800000001,38.51585305,,
210,6,0,490,0,1102,1870,260,6,0,50,0,0,0,6,7,4,700,0.3714285714285714,0.2355316285329744,0.7,0.6292059219380888,0.3707940780619112,356.9584960000001,34.9219594,44.23882305185185,
210,6,175,315,0,1280,1600,235,9.5,0,55,35,0,0,23,5,4,700,0.3357142857142857,0.2430555555555556,0.7,0.5555555555555556,0.4444444444444444,368.2774400000001,42.43035304,63.66161733333333,61.58552848888889
