PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
180,120,300,0,1250,1750,239,4,45,39,0,600,0.398333333,0.2,0.7,0.583333333,0.416666667,35.57006684,47.89559947,53.00691488
180,120,300,0,1250,1830,239,4,45,39,0,600,0.398333333,0.194805195,0.7,0.594155844,0.405844156,32.37271261,48.11393353,53.71707516
180,120,300,0,1250,1830,240,11,0,18,0,600,0.4,0.194805195,0.7,0.594155844,0.405844156,31.28027253,44.46075539,49.01234165
180,120,300,0,1265,1765,238,4,0,37,0,600,0.396666667,0.198019802,0.7,0.582508251,0.417491749,24.19458837,,44.74516839
180,120,300,0,1280,1830,238,5,0,18,0,600,0.396666667,0.192926045,0.7,0.588424437,0.411575563,26.51830769,42.82529904,48.69855172
180,180,240,0,1116,1450,242,1.5,0,30,0,600,0.403333333,0.233826968,0.7,0.565081839,0.434918161,24.9590312,43.30196562,53.4688638
180,180,240,0,1116,1970,242,0.9,0,30,0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,31.3603474,48.54973982,52.27353755
180,180,240,0,1116,1970,242,1.5,30,0,0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,27.42735528,44.62748323,
180,180,240,0,1116,1970,242,1.5,30,0,0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,29.81561227,47.94544891,54.54032336
180,180,240,0,1270,1928,200,15,0,18,0,600,0.333333333,0.187617261,0.7,0.602876798,0.397123202,37.7832848,56.89777569,58.03549317
180,180,240,0,1290,1950,209,18,0,71,0,600,0.348333333,0.185185185,0.7,0.601851852,0.398148148,30.19562258,46.59163069,51.97910316
180,180,240,0,1290,2060,192,32,0,32,0,600,0.32,0.179104478,0.7,0.614925373,0.385074627,33.9759446,51.4588302,58.54721117
185,0,440,0,1265,1960,235,5,0,75,0,625,0.376,0.19379845,0.704,0.607751938,0.392248062,43.79321727,56.49872778,
188,187,250,0,1265,1800,228,8.5,0,52,0,625,0.3648,0.203915171,0.6992,0.587275693,0.412724307,35.54109732,52.94959765,66.82470336
188,187,250,0,1235,1700,200,20,65,40,512,625,0.32,0.212947189,0.6992,0.579216354,0.420783646,40.7825054,66.37355627,
195,0,455,0,1145,1870,260,9.8,0,50,0,650,0.4,0.215588723,0.7,0.620232172,0.379767828,41.023822,52.56679937,
195,0,455,0,1250,1850,242,3,0,35,3,650,0.372307692,0.209677419,0.7,0.596774194,0.403225806,41.0755327,54.83632453,56.8128224
195,130,325,0,1190,1735,245,6,0,46,0,650,0.376923077,0.222222222,0.7,0.593162393,0.406837607,33.39966897,52.9862306,56.50589437
195,0,455,0,1230,1850,238,3.3,0,104,0,650,0.366153846,0.211038961,0.7,0.600649351,0.399350649,51.82011684,61.1541437,
195,0,455,0,1250,1850,242,3,0,35,3,650,0.372307692,0.209677419,0.7,0.596774194,0.403225806,30.6299713,47.28656233,58.8467766
195,0,495,0,1250,1850,242,3,15,35,0,690,0.350724638,0.222580645,0.717391304,0.596774194,0.403225806,41.1789541,54.77312257,58.76921055
198,198,264,0,1141,1750,250,0,0,40,0,660,0.378787879,0.228294708,0.7,0.605326877,0.394673123,30.4748392,49.32051653,56.9162438
198,198,264,0,1345,1550,249,5,0,55,0,660,0.377272727,0.227979275,0.7,0.535405872,0.464594128,32.67409085,49.67036176,58.49354506
198,198,264,0,1186,1750,250,0,0,40,0,660,0.378787879,0.22479564,0.7,0.596049046,0.403950954,37.20584865,53.59986424,58.55030192
200,300,0,0,1430,1460,297,2.5,0,20,0,500,0.594,0.173010381,0.6,0.505190311,0.494809689,11.07170775,20.77829945,29.25509348
200,100,550,0,1260,1380,340,0,0,40,0,850,0.4,0.321969697,0.764705882,0.522727273,0.477272727,49.42502202,76.14879378,81.22154961
200,100,550,0,1260,1383,308,0,0,45,0,850,0.362352941,0.321604238,0.764705882,0.523269012,0.476730988,40.64296859,55.44536167,64.40854967
200,100,550,0,1260,1400,312,0,0,52,0,850,0.367058824,0.319548872,0.764705882,0.526315789,0.473684211,59.0191456,72.06173327,77.89240197
204,204,272,0,1015,1970,264,1.1,40.8,0,0,680,0.388235294,0.227805695,0.7,0.659966499,0.340033501,31.4401056,49.0906912,56.5715058
